,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@BillyM2k the olden daze,2183,165,2022-11-22 09:02:55+00:00
1,elonmusk,@jakeshieldsajj Indeed,2448,100,2022-11-22 08:26:46+00:00
2,elonmusk,@R6BTuxYEfbGYIoB What do you mean?,14906,612,2022-11-22 08:24:41+00:00
3,elonmusk,@WSJ @WSJopinion @AllysiaFinley .@CommunityNotes 🙌,4404,242,2022-11-22 08:19:51+00:00
4,elonmusk,"Wait, if I Tweet does that count as work?",208274,11823,2022-11-22 07:54:03+00:00
5,elonmusk,@SirineAti @Anc_Aesthetics Twitter,2891,149,2022-11-22 07:50:39+00:00
6,elonmusk,"@PPathole @Anc_Aesthetics Yeah, about 6 months ago",1663,68,2022-11-22 07:50:25+00:00
7,elonmusk,@Syndicate I see a path,3001,118,2022-11-22 07:49:08+00:00
8,elonmusk,@TeslaGong @CSMFHT It’s coming,907,43,2022-11-22 07:45:40+00:00
9,elonmusk,@teslaownersSV @CSMFHT Looking into it,1277,66,2022-11-22 07:45:13+00:00
10,elonmusk,@Anc_Aesthetics Pretty sure that was in Elden Ring,10018,422,2022-11-22 07:40:08+00:00
11,elonmusk,@unusual_whales Perhaps not unreasonable to know if anything was accomplished 🫶,47736,2125,2022-11-22 07:39:09+00:00
12,elonmusk,"This will improve a lot as Twitter becomes fast to use outside of North America, Western Europe &amp; Japan",27354,1712,2022-11-22 07:34:10+00:00
13,elonmusk,"@CSMFHT Pupienus Maximus!
https://t.co/RQT01Xc2fz",3163,174,2022-11-22 07:22:42+00:00
14,elonmusk,@sama Plot twist!,12332,586,2022-11-22 07:17:26+00:00
15,elonmusk,@dogeofficialceo @MrBeast Written content too,12912,678,2022-11-22 01:40:21+00:00
16,elonmusk,@MrBeast Let’s see what happens when Twitter offers good video with higher compensation for creators …,69548,4282,2022-11-22 01:36:50+00:00
17,elonmusk,The Tactics of Mistake,109075,6876,2022-11-22 01:31:08+00:00
18,elonmusk,@mosstache 💯🎯🤣,21490,850,2022-11-22 01:30:44+00:00
19,elonmusk,"Twitter added 1.6M daily active users this past week, another all-time high https://t.co/Si3cRYnvyD",244890,20748,2022-11-22 01:28:00+00:00
20,elonmusk,"Holding off relaunch of Blue Verified until there is high confidence of stopping impersonation. 

Will probably use different color check for organizations than individuals.",171465,11545,2022-11-22 01:11:15+00:00
21,elonmusk,@egoraptor lmao,5961,211,2022-11-22 00:47:08+00:00
22,elonmusk,@PPathole Dune. Amazing to think it was written in 1965!,8060,426,2022-11-21 23:47:39+00:00
23,elonmusk,@WSJ @WSJopinion @AllysiaFinley Yeah umm … that is definitely not the reason it failed,194806,14486,2022-11-21 23:45:42+00:00
24,elonmusk,@Jason 🤣,45817,1784,2022-11-21 23:43:51+00:00
25,elonmusk,Starlink now works for high latitudes https://t.co/Ngdh8CJbCJ,63148,5133,2022-11-21 23:29:28+00:00
26,elonmusk,Tesla Megapacks are highly effective in addressing electricity demand spikes that cause power outages https://t.co/V4n5c4ZvNH,31895,2638,2022-11-21 23:02:29+00:00
27,elonmusk,@JamesSpiro @Israel @taylorswift13 I have! It was great.,9927,314,2022-11-21 20:38:02+00:00
28,elonmusk,@cb_doge @DanSum519 @stillgray Not many tbh,4086,150,2022-11-21 20:32:56+00:00
29,elonmusk,@Israel @taylorswift13 Your tweets are good! More countries should tweet like this. No fun being all stuffy.,92230,3088,2022-11-21 20:28:53+00:00
30,elonmusk,Experience: what you get when you didn’t get what you wanted - Igor,140060,13389,2022-11-21 20:22:43+00:00
31,elonmusk,"@DanSum519 @stillgray Oh they’ll be back on Twitter, if they even actually left. This platform is like pharmaceutical-grade crack to them.",3583,375,2022-11-21 20:10:52+00:00
32,elonmusk,@stillgray I am having a great time 🤣🤣,57896,2852,2022-11-21 20:02:17+00:00
33,elonmusk,Fanaticism is always a function of repressed doubt – Dune,107453,9436,2022-11-21 19:22:25+00:00
34,elonmusk,Namaste 🙏,170176,12100,2022-11-21 18:41:22+00:00
35,elonmusk,"@mysteriouskat It’s a reverse, reverse psychology trick",18545,602,2022-11-21 18:38:16+00:00
36,elonmusk,@mysteriouskat 👀,3589,96,2022-11-21 18:37:29+00:00
